Club No,Club Name,Division,Area,From Year,From DCP,To Year,To DCP,Change,To-Year Status,From-Year Members,To-Year Members
00003435,Tillicum Toastmasters,G,62,2024-2025,10,2025-2026,7,-3,Select Distinguished,24,26
03262351,Toastmasters By The Sea,F,50,2023-2024,10,2024-2025,7,-3,,20,14
00003984,Triple-C Toastmasters Club,C,22,2021-2022,7,2022-2023,4,-3,,11,13
00002149,Vancore Toastmasters,A,11,2023-2024,6,2024-2025,3,-3,,19,19
00008178,White Rock Club,F,50,2022-2023,7,2023-2024,4,-3,,28,23
03193346,Advanced Leaders Lab (ALL),C,34,2022-2023,6,2023-2024,4,-2,,15,10
03193346,Advanced Leaders Lab (ALL),C,21,2024-2025,9,2025-2026,7,-2,,15,15
07007776,BC Public Service Virtual Communicators,B,13,2022-2023,10,2023-2024,8,-2,,16,12
00003486,Chilliwack Toastmasters Club,H,72,2024-2025,8,2025-2026,6,-2,,23,16
00813114,Community Impact Speakers Club,D,42,2022-2023,6,2023-2024,4,-2,,11,11
00003219,Diverse Abilities,B,11,2024-2025,6,2025-2026,4,-2,,11,9
04801014,Down to Business,E,44,2024-2025,7,2025-2026,5,-2,,15,12
02356080,Dunsmuir Power Presenters,E,41,2024-2025,9,2025-2026,7,-2,Select Distinguished,23,20
28675643,Empowering Entrepreneurs Toastmasters,D,31,2024-2025,6,2025-2026,4,-2,,20,8
01298198,Hi Noon Toastmasters,J,72,2023-2024,6,2024-2025,4,-2,,10,9
01494034,Howe Sound Toastmasters,H,63,2021-2022,7,2022-2023,5,-2,,9,7
01703259,Just Pros Toastmasters,G,62,2024-2025,9,2025-2026,7,-2,,14,13
00005300,Kelowna AM Toastmasters Club,J,70,2023-2024,10,2024-2025,8,-2,Select Distinguished,24,23
00002796,Kelowna Toastmasters,J,70,2021-2022,7,2022-2023,5,-2,Distinguished,20,30
00004671,Master Motivators Toastmasters Club,B,12,2022-2023,6,2023-2024,4,-2,,12,13
00002046,Nechako Toastmasters,J,84,2024-2025,6,2025-2026,4,-2,,11,8
01827173,PARAKEETS Toastmasters Club,D,42,2023-2024,6,2024-2025,4,-2,,10,10
02196677,Penticton Toasties,J,71,2021-2022,7,2022-2023,5,-2,Distinguished,11,21
02196677,Penticton Toasties,J,80,2024-2025,8,2025-2026,6,-2,,19,15
00008116,Positively Speaking Club,E,54,2023-2024,7,2024-2025,5,-2,,15,12
00003081,Prince George Toastmasters,D,43,2021-2022,8,2022-2023,6,-2,,22,16
00001288,Saanich Peninsula Club,A,03,2024-2025,6,2025-2026,4,-2,,22,14
00004931,Salsa Speakers Club,D,41,2023-2024,9,2024-2025,7,-2,Select Distinguished,20,20
01086799,Spoken Word Toastmasters,J,85,2021-2022,8,2022-2023,6,-2,,14,14
04809564,St. Paul's Toastmasters,A,12,2023-2024,7,2024-2025,5,-2,Distinguished,15,18
00005403,Sunshine Toastmasters,H,63,2021-2022,9,2022-2023,7,-2,,14,9
00002590,Surrey Club 2590,E,42,2023-2024,6,2024-2025,4,-2,,13,18
07561946,Talking The Walk Toastmasters,B,14,2024-2025,8,2025-2026,6,-2,,12,11
00009429,The Rock Christian Toastmasters Club,F,51,2022-2023,7,2023-2024,5,-2,,8,0
00992549,Top Story Advanced,E,44,2024-2025,6,2025-2026,4,-2,,18,14
00002149,Vancore Toastmasters,A,11,2022-2023,8,2023-2024,6,-2,,19,19
00001709,Advanced Aurators Club,E,42,2024-2025,6,2025-2026,5,-1,Distinguished,8,11
00005750,Arbutus Toastmasters Club,C,21,2022-2023,6,2023-2024,5,-1,Distinguished,21,22
05700655,Be Amazing,J,81,2024-2025,6,2025-2026,5,-1,Distinguished,21,22
05265003,Burnaby Entrepreneurs Toastmasters Club,D,44,2022-2023,10,2023-2024,9,-1,President's Distinguished,27,29
01642540,Canada Revenue Raconteurs,B,13,2021-2022,10,2022-2023,9,-1,President's Distinguished,21,20
07085759,Capital Park Superior Speakers,B,13,2021-2022,9,2022-2023,8,-1,Select Distinguished,20,20
07085759,Capital Park Superior Speakers,A,01,2024-2025,10,2025-2026,9,-1,President's Distinguished,26,30
00003486,Chilliwack Toastmasters Club,G,60,2022-2023,8,2023-2024,7,-1,Select Distinguished,15,19
00000950,Cowichan Toastmasters Club,C,20,2023-2024,7,2024-2025,6,-1,Distinguished,18,20
00000950,Cowichan Toastmasters Club,B,11,2024-2025,6,2025-2026,5,-1,Distinguished,20,21
00001612,Crystal Clear Speakers Club,M,91,2021-2022,10,2022-2023,9,-1,President's Distinguished,20,24
00004548,Declarations Toastmasters,C,33,2021-2022,10,2022-2023,9,-1,President's Distinguished,20,20
00000867,Deltones Club,E,40,2021-2022,6,2022-2023,5,-1,,16,13
04801014,Down to Business,E,52,2022-2023,8,2023-2024,7,-1,Select Distinguished,16,20
03337150,Downtown Coquitlam TM Club,E,44,2024-2025,10,2025-2026,9,-1,President's Distinguished,22,26
02356080,Dunsmuir Power Presenters,A,12,2023-2024,10,2024-2025,9,-1,President's Distinguished,28,23
00008237,Earth Aware Toastmasters Club,E,42,2024-2025,6,2025-2026,5,-1,Distinguished,23,20
07896279,Franco Fun Vancouver Toastmasters,B,22,2022-2023,7,2023-2024,6,-1,Distinguished,12,15
00007460,Harbour City Toastmasters Club,B,12,2024-2025,10,2025-2026,9,-1,President's Distinguished,31,27
01494034,Howe Sound Toastmasters,C,33,2023-2024,6,2024-2025,5,-1,,10,11
04469753,Island Excellence Toastmasters,C,21,2021-2022,7,2022-2023,6,-1,,24,18
01703259,Just Pros Toastmasters,M,93,2021-2022,7,2022-2023,6,-1,Distinguished,20,20
01703259,Just Pros Toastmasters,E,53,2022-2023,6,2023-2024,5,-1,,20,17
00005300,Kelowna AM Toastmasters Club,J,70,2021-2022,10,2022-2023,9,-1,President's Distinguished,20,24
00002743,Langley Toastmasters 2743,G,63,2021-2022,10,2022-2023,9,-1,President's Distinguished,30,37
00006399,Lincoln Toastmasters Club,E,44,2024-2025,10,2025-2026,9,-1,President's Distinguished,20,20
00004812,Marpole Community Toastmasters Club,B,24,2023-2024,10,2024-2025,9,-1,President's Distinguished,20,20
00004371,Metro Speakers Club,D,43,2023-2024,10,2024-2025,9,-1,President's Distinguished,43,37
02279512,New Westminster Toastmasters,G,62,2024-2025,8,2025-2026,7,-1,,15,11
00008139,Night Vision Toastmasters Club,D,31,2024-2025,10,2025-2026,9,-1,President's Distinguished,33,36
00009200,North Delta Power Talkers Club,F,52,2022-2023,10,2023-2024,9,-1,President's Distinguished,20,26
00000322,North Vancouver Toastmasters,C,34,2023-2024,8,2024-2025,7,-1,Select Distinguished,23,32
00006907,Power Speakers 6907,D,41,2023-2024,9,2024-2025,8,-1,,34,9
01390136,Quorum Toastmasters,A,02,2023-2024,10,2024-2025,9,-1,President's Distinguished,20,24
00007743,Rocky Point Club,E,53,2023-2024,10,2024-2025,9,-1,President's Distinguished,23,31
00004931,Salsa Speakers Club,J,84,2021-2022,6,2022-2023,5,-1,Distinguished,20,20
00004931,Salsa Speakers Club,F,50,2024-2025,7,2025-2026,6,-1,Distinguished,20,20
00002852,Sentinel Speakers Club,J,81,2024-2025,6,2025-2026,5,-1,Distinguished,11,14
01472411,Sooke Harbour Toastmasters Club,A,03,2021-2022,8,2022-2023,7,-1,,14,13
00007966,Speak With Confidence Club,E,43,2023-2024,10,2024-2025,9,-1,President's Distinguished,20,24
00813938,Speak Your Mind,D,33,2024-2025,6,2025-2026,5,-1,,12,12
01086799,Spoken Word Toastmasters,D,44,2023-2024,8,2024-2025,7,-1,Select Distinguished,13,17
01086799,Spoken Word Toastmasters,F,52,2024-2025,7,2025-2026,6,-1,Distinguished,17,24
00002171,Spruce Capital Club,D,41,2021-2022,6,2022-2023,5,-1,,15,14
00005449,Stimulight Toastmasters Club,E,51,2023-2024,10,2024-2025,9,-1,President's Distinguished,22,23
00005403,Sunshine Toastmasters,C,33,2022-2023,7,2023-2024,6,-1,Distinguished,9,12
07561946,Talking The Walk Toastmasters,C,22,2023-2024,9,2024-2025,8,-1,,14,12
07535384,The Knights of Abbotsford,H,72,2024-2025,9,2025-2026,8,-1,,16,14
03262351,Toastmasters By The Sea,F,51,2021-2022,10,2022-2023,9,-1,President's Distinguished,18,20
00845571,Toastmentors,G,61,2024-2025,8,2025-2026,7,-1,Distinguished,14,18
00992549,Top Story Advanced,M,92,2021-2022,7,2022-2023,6,-1,Distinguished,15,18
00992549,Top Story Advanced,E,52,2022-2023,6,2023-2024,5,-1,,18,15
00982012,Vancouver Entrepreneurs Toastmasters Club,A,14,2022-2023,10,2023-2024,9,-1,President's Distinguished,46,47
00000059,Vancouver Toastmasters Club,B,23,2023-2024,10,2024-2025,9,-1,President's Distinguished,66,65
00009516,White Rock Evening Edition Club,F,50,2022-2023,7,2023-2024,6,-1,,15,16
07872661,World of Difference,C,20,2021-2022,6,2022-2023,5,-1,,18,18
