Club No,Club Name,Division,Area,Program Year,Month,Month End,As Of,DCP Status,Club Success Plan,Membership Base,Membership To Date,Net Growth,DCP Goals Met,Level 1 awards,Level 2 awards,More Level 2 awards,Level 3 awards,"Level 4, Path Completion, or DTM award","One more Level 4, Path Completion, or DTM award",New members,More new members,Club officer roles trained June-August,Club officer roles trained November-February,Membership-renewal dues on time,Club officer list on time
00000965,Abbotsford Sundown Club,G,61,2023-2024,Dec 2023,2023-12-31,9-Jan-2024,,,21,20,-1,2,1,1,0,1,0,0,4,3,3,3,1,1
00000965,Abbotsford Sundown Club,G,61,2023-2024,Jan 2024,2024-01-31,7-Feb-2024,,,21,21,0,3,1,1,0,2,0,0,4,3,3,3,1,1
00000965,Abbotsford Sundown Club,G,61,2023-2024,Feb 2024,2024-02-29,8-Mar-2024,,,21,22,1,4,1,1,0,2,0,0,4,4,3,3,1,1
00000965,Abbotsford Sundown Club,G,61,2023-2024,Mar 2024,2024-03-31,10-Apr-2024,,,21,22,1,4,1,1,0,2,0,0,4,4,3,3,2,1
00000965,Abbotsford Sundown Club,G,61,2023-2024,Apr 2024,2024-04-30,8-May-2024,,,21,18,-3,6,3,2,0,2,1,0,4,5,3,3,2,1
00000965,Abbotsford Sundown Club,G,61,2023-2024,May 2024,2024-05-31,11-Jun-2024,,,21,18,-3,7,3,2,0,2,1,1,4,5,3,3,2,1
00000965,Abbotsford Sundown Club,G,61,2023-2024,Jun 2024,2024-06-30,20-Jul-2024,,,21,18,-3,8,4,2,0,2,1,1,4,5,3,3,2,1
00000965,Abbotsford Sundown Club,F,54,2024-2025,Jul 2024,2024-07-31,8-Aug-2024,,,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1
00000965,Abbotsford Sundown Club,F,54,2024-2025,Aug 2024,2024-08-31,11-Sep-2024,,,18,18,0,0,0,0,0,0,0,0,0,0,4,0,0,1
00000965,Abbotsford Sundown Club,F,54,2024-2025,Sep 2024,2024-09-30,11-Oct-2024,,,18,19,1,1,0,0,0,0,0,0,1,0,4,0,1,1
00000965,Abbotsford Sundown Club,F,54,2024-2025,Oct 2024,2024-10-31,13-Nov-2024,,,18,16,-2,2,0,0,0,0,0,0,4,1,4,0,1,1
00000965,Abbotsford Sundown Club,F,54,2024-2025,Nov 2024,2024-11-30,11-Dec-2024,,,18,16,-2,2,0,0,0,0,0,0,4,1,4,0,1,1
00000965,Abbotsford Sundown Club,F,54,2024-2025,Dec 2024,2024-12-31,8-Jan-2025,,,18,16,-2,2,1,1,0,0,0,0,4,1,4,2,1,1
00000965,Abbotsford Sundown Club,F,54,2024-2025,Jan 2025,2025-01-31,10-Feb-2025,,,18,18,0,3,1,2,0,0,0,0,4,3,4,2,1,1
00000965,Abbotsford Sundown Club,F,54,2024-2025,Feb 2025,2025-02-28,7-Mar-2025,,,18,18,0,3,1,2,0,0,0,0,4,3,4,2,1,1
00000965,Abbotsford Sundown Club,F,54,2024-2025,Mar 2025,2025-03-31,11-Apr-2025,,,18,18,0,3,1,2,1,1,0,0,4,3,4,2,2,1
00000965,Abbotsford Sundown Club,F,54,2024-2025,Apr 2025,2025-04-30,8-May-2025,,,18,14,-4,4,1,2,1,1,0,0,4,5,4,2,2,1
00000965,Abbotsford Sundown Club,F,54,2024-2025,May 2025,2025-05-31,6-Jun-2025,,,18,14,-4,4,1,2,1,1,0,0,4,5,4,2,2,1
00000965,Abbotsford Sundown Club,F,54,2024-2025,Jun 2025,2025-06-30,21-Jul-2025,,,18,14,-4,5,2,2,1,1,1,0,4,5,4,2,2,1
00000965,Abbotsford Sundown Club,H,72,2025-2026,Jul 2025,2025-07-31,6-Aug-2025,,Requirement Not Met,14,14,0,0,0,0,0,0,0,0,0,0,2,0,0,1
00000965,Abbotsford Sundown Club,H,72,2025-2026,Aug 2025,2025-08-31,8-Sep-2025,,Requirement Met,14,15,1,0,1,1,0,0,0,0,1,0,4,0,0,1
00000965,Abbotsford Sundown Club,H,72,2025-2026,Sep 2025,2025-09-30,10-Oct-2025,,Requirement Met,14,16,2,2,1,1,0,0,1,0,2,0,4,0,1,1
00000965,Abbotsford Sundown Club,H,72,2025-2026,Oct 2025,2025-10-31,11-Nov-2025,,Requirement Met,14,13,-1,2,1,1,0,0,1,0,3,0,4,0,1,1
00000965,Abbotsford Sundown Club,H,72,2025-2026,Nov 2025,2025-11-30,8-Dec-2025,,Requirement Met,14,15,1,3,2,1,0,0,1,0,4,1,4,2,1,1
00000965,Abbotsford Sundown Club,H,72,2025-2026,Dec 2025,2025-12-31,8-Jan-2026,,Requirement Met,14,16,2,5,2,1,0,0,1,1,4,2,4,4,1,1
00000965,Abbotsford Sundown Club,H,72,2025-2026,Jan 2026,2026-01-31,5-Feb-2026,,Requirement Met,14,17,3,5,3,1,0,0,1,1,4,3,4,6,1,1
00000965,Abbotsford Sundown Club,H,72,2025-2026,Feb 2026,2026-02-28,5-Mar-2026,,Requirement Met,14,19,5,7,3,2,0,0,1,1,4,5,4,7,1,1
00000965,Abbotsford Sundown Club,H,72,2025-2026,Mar 2026,2026-03-31,7-Apr-2026,,Requirement Met,14,20,6,7,3,2,0,0,1,1,4,6,4,7,2,1
00000965,Abbotsford Sundown Club,H,72,2025-2026,Apr 2026,2026-04-30,7-May-2026,Select Distinguished,Requirement Met,14,19,5,7,3,2,0,1,1,1,4,8,4,7,2,1
00000965,Abbotsford Sundown Club,H,72,2025-2026,May 2026,2026-05-31,5-Jun-2026,Select Distinguished,Requirement Met,14,19,5,8,3,2,0,2,1,1,4,8,4,7,2,1
00000965,Abbotsford Sundown Club,H,72,2025-2026,Jun 2026,2026-06-30,16-Jul-2026,Select Distinguished,Requirement Met,14,19,5,9,4,2,0,2,1,1,4,8,4,7,2,1
01134527,Absolutely Toasted,A,11,2021-2022,Jul 2021,2021-07-31,10-Aug-2021,,,18,19,1,0,0,0,0,0,0,0,1,0,5,0,0,1
01134527,Absolutely Toasted,A,11,2021-2022,Aug 2021,2021-08-31,9-Sep-2021,,,18,19,1,0,0,0,0,0,0,0,1,0,6,0,0,1
01134527,Absolutely Toasted,A,11,2021-2022,Sep 2021,2021-09-30,12-Oct-2021,,,18,19,1,1,0,0,0,0,0,0,1,0,6,0,1,1
01134527,Absolutely Toasted,A,11,2021-2022,Oct 2021,2021-10-31,10-Nov-2021,,,18,14,-4,2,0,0,0,0,1,0,3,0,6,0,1,1
01134527,Absolutely Toasted,A,11,2021-2022,Nov 2021,2021-11-30,9-Dec-2021,,,18,14,-4,3,1,0,0,0,1,1,3,0,6,0,1,1
01134527,Absolutely Toasted,A,11,2021-2022,Dec 2021,2021-12-31,6-Jan-2022,,,18,15,-3,4,1,0,0,0,1,1,4,0,6,3,1,1
01134527,Absolutely Toasted,A,11,2021-2022,Jan 2022,2022-01-31,9-Feb-2022,,,18,15,-3,5,1,0,0,0,1,1,4,0,6,4,1,1
01134527,Absolutely Toasted,A,11,2021-2022,Feb 2022,2022-02-28,8-Mar-2022,,,18,15,-3,5,1,0,0,0,1,1,4,0,6,5,1,1
01134527,Absolutely Toasted,A,11,2021-2022,Mar 2022,2022-03-31,10-Apr-2022,,,18,15,-3,5,2,0,0,0,1,1,4,0,6,5,2,1
01134527,Absolutely Toasted,A,11,2021-2022,Apr 2022,2022-04-30,30-Apr-2022,,,18,10,-8,5,2,0,0,0,1,1,4,0,6,5,2,1
01134527,Absolutely Toasted,A,11,2021-2022,May 2022,2022-05-31,17-Jun-2022,,,18,11,-7,5,2,0,0,0,1,1,4,0,6,5,2,1
01134527,Absolutely Toasted,A,11,2021-2022,Jun 2022,2022-06-30,29-Jul-2022,,,18,11,-7,5,2,0,0,0,1,1,4,0,6,5,2,1
01134527,Absolutely Toasted,A,11,2022-2023,Jul 2022,2022-07-31,9-Aug-2022,,,11,11,0,0,1,1,0,1,0,0,0,0,2,0,0,1
01134527,Absolutely Toasted,A,11,2022-2023,Aug 2022,2022-08-31,8-Sep-2022,,,11,12,1,0,1,1,0,1,0,0,1,0,5,0,0,1
01134527,Absolutely Toasted,A,11,2022-2023,Sep 2022,2022-09-30,17-Oct-2022,,,11,12,1,2,1,1,0,1,1,0,1,0,5,0,1,1
01134527,Absolutely Toasted,A,11,2022-2023,Oct 2022,2022-10-31,15-Nov-2022,,,11,8,-3,2,1,1,0,1,1,0,1,0,5,0,1,1
01134527,Absolutely Toasted,A,11,2022-2023,Nov 2022,2022-11-30,9-Dec-2022,,,11,9,-2,2,1,1,0,1,1,0,2,0,5,2,1,1
01134527,Absolutely Toasted,A,11,2022-2023,Dec 2022,2022-12-31,10-Jan-2023,,,11,9,-2,2,1,1,0,1,1,0,2,0,5,3,1,1
01134527,Absolutely Toasted,A,11,2022-2023,Jan 2023,2023-01-31,8-Feb-2023,,,11,10,-1,3,1,1,0,1,1,0,3,0,5,4,1,1
01134527,Absolutely Toasted,A,11,2022-2023,Feb 2023,2023-02-28,9-Mar-2023,,,11,10,-1,4,1,2,0,1,1,0,3,0,5,5,1,1
01134527,Absolutely Toasted,A,11,2022-2023,Mar 2023,2023-03-31,14-Apr-2023,,,11,10,-1,5,1,2,0,1,1,1,3,0,5,5,2,1
01134527,Absolutely Toasted,A,11,2022-2023,Apr 2023,2023-04-30,12-May-2023,,,11,9,-2,6,1,2,0,1,1,1,4,0,5,5,2,1
01134527,Absolutely Toasted,A,11,2022-2023,May 2023,2023-05-31,7-Jun-2023,,,11,9,-2,6,1,2,0,1,1,2,4,0,5,7,2,1
01134527,Absolutely Toasted,A,11,2022-2023,Jun 2023,2023-06-30,20-Jul-2023,,,11,9,-2,6,1,2,0,1,1,2,4,0,5,7,2,1
01134527,Absolutely Toasted,B,21,2023-2024,Jul 2023,2023-07-31,11-Aug-2023,,,9,10,1,1,0,1,0,0,0,0,1,0,0,0,1,1
01134527,Absolutely Toasted,B,21,2023-2024,Aug 2023,2023-08-31,6-Sep-2023,,,9,10,1,1,0,1,0,0,0,0,1,0,7,0,1,1
01134527,Absolutely Toasted,B,21,2023-2024,Sep 2023,2023-09-30,12-Oct-2023,,,9,10,1,1,0,1,0,0,0,0,1,0,7,0,1,1
01134527,Absolutely Toasted,B,21,2023-2024,Oct 2023,2023-10-31,8-Nov-2023,,,9,9,0,1,1,1,0,1,0,0,1,0,7,0,1,1
01134527,Absolutely Toasted,B,21,2023-2024,Nov 2023,2023-11-30,6-Dec-2023,,,9,9,0,1,1,1,0,1,0,0,1,0,7,2,1,1
01134527,Absolutely Toasted,B,21,2023-2024,Dec 2023,2023-12-31,9-Jan-2024,,,9,9,0,1,2,1,0,1,0,0,1,0,7,2,1,1
01134527,Absolutely Toasted,B,21,2023-2024,Jan 2024,2024-01-31,7-Feb-2024,,,9,9,0,2,2,1,0,1,0,0,1,0,7,4,1,1
01134527,Absolutely Toasted,B,21,2023-2024,Feb 2024,2024-02-29,8-Mar-2024,,,9,9,0,4,2,1,0,2,1,0,1,0,7,7,2,1
01134527,Absolutely Toasted,B,21,2023-2024,Mar 2024,2024-03-31,10-Apr-2024,,,9,10,1,4,2,1,0,2,1,0,2,0,7,7,2,1
01134527,Absolutely Toasted,B,21,2023-2024,Apr 2024,2024-04-30,8-May-2024,Distinguished,,9,12,3,5,2,1,0,2,1,0,4,0,7,7,2,1
01134527,Absolutely Toasted,B,21,2023-2024,May 2024,2024-05-31,11-Jun-2024,Distinguished,,9,12,3,6,2,1,0,2,1,1,4,0,7,7,2,1
01134527,Absolutely Toasted,B,21,2023-2024,Jun 2024,2024-06-30,20-Jul-2024,Select Distinguished,,9,12,3,7,2,2,0,2,1,2,4,0,7,7,2,1
01134527,Absolutely Toasted,B,21,2024-2025,Jul 2024,2024-07-31,8-Aug-2024,,,12,12,0,0,1,0,0,0,0,0,0,0,4,0,0,1
01134527,Absolutely Toasted,B,21,2024-2025,Aug 2024,2024-08-31,11-Sep-2024,,,12,12,0,2,1,0,0,0,1,0,0,0,7,0,1,1
01134527,Absolutely Toasted,B,21,2024-2025,Sep 2024,2024-09-30,11-Oct-2024,,,12,12,0,2,1,0,0,0,1,0,0,0,7,0,1,1
01134527,Absolutely Toasted,B,21,2024-2025,Oct 2024,2024-10-31,13-Nov-2024,,,12,9,-3,2,1,0,0,0,1,0,0,0,7,0,1,1
01134527,Absolutely Toasted,B,21,2024-2025,Nov 2024,2024-11-30,11-Dec-2024,,,12,9,-3,2,1,0,0,0,1,0,0,0,7,0,1,1
01134527,Absolutely Toasted,B,21,2024-2025,Dec 2024,2024-12-31,8-Jan-2025,,,12,9,-3,2,1,0,0,0,1,0,0,0,7,0,1,1
01134527,Absolutely Toasted,B,21,2024-2025,Jan 2025,2025-01-31,10-Feb-2025,,,12,10,-2,2,1,0,0,0,1,0,1,0,7,2,1,1
01134527,Absolutely Toasted,B,21,2024-2025,Feb 2025,2025-02-28,7-Mar-2025,,,12,11,-1,3,1,0,0,0,1,0,2,0,7,6,1,1
01134527,Absolutely Toasted,B,21,2024-2025,Mar 2025,2025-03-31,11-Apr-2025,,,12,11,-1,3,1,0,0,0,1,0,2,0,7,6,2,1
01134527,Absolutely Toasted,B,21,2024-2025,Apr 2025,2025-04-30,8-May-2025,,,12,9,-3,3,1,0,0,0,1,0,2,0,7,6,2,1
01134527,Absolutely Toasted,B,21,2024-2025,May 2025,2025-05-31,6-Jun-2025,,,12,9,-3,3,1,0,0,0,1,0,2,0,7,6,2,1
01134527,Absolutely Toasted,B,21,2024-2025,Jun 2025,2025-06-30,21-Jul-2025,,,12,9,-3,3,1,0,0,0,1,0,2,0,7,6,2,1
01134527,Absolutely Toasted,D,31,2025-2026,Jul 2025,2025-07-31,6-Aug-2025,,Requirement Not Met,9,9,0,0,1,0,0,0,0,0,0,0,5,0,0,1
01134527,Absolutely Toasted,D,31,2025-2026,Aug 2025,2025-08-31,8-Sep-2025,,Requirement Not Met,9,9,0,0,1,0,0,0,0,0,0,0,6,0,0,1
01134527,Absolutely Toasted,D,31,2025-2026,Sep 2025,2025-09-30,10-Oct-2025,,Requirement Met,9,9,0,1,1,1,0,0,0,0,0,0,7,0,1,1
01134527,Absolutely Toasted,D,31,2025-2026,Oct 2025,2025-10-31,11-Nov-2025,,Requirement Met,9,9,0,2,1,1,0,0,1,0,1,0,7,0,1,1
01134527,Absolutely Toasted,D,31,2025-2026,Nov 2025,2025-11-30,8-Dec-2025,,Requirement Met,9,9,0,2,1,1,0,0,1,0,1,0,7,0,1,1
01134527,Absolutely Toasted,D,31,2025-2026,Dec 2025,2025-12-31,8-Jan-2026,,Requirement Met,9,10,1,2,1,1,0,0,1,0,2,0,7,1,1,1
01134527,Absolutely Toasted,D,31,2025-2026,Jan 2026,2026-01-31,5-Feb-2026,,Requirement Met,9,12,3,3,1,1,0,0,1,0,4,0,7,3,1,1
01134527,Absolutely Toasted,D,31,2025-2026,Feb 2026,2026-02-28,5-Mar-2026,,Requirement Met,9,13,4,4,1,1,0,0,1,0,4,1,7,4,1,1
01134527,Absolutely Toasted,D,31,2025-2026,Mar 2026,2026-03-31,7-Apr-2026,,Requirement Met,9,13,4,4,1,1,0,1,1,0,4,1,7,6,2,1
01134527,Absolutely Toasted,D,31,2025-2026,Apr 2026,2026-04-30,7-May-2026,,Requirement Met,9,9,0,4,1,1,0,1,1,0,4,1,7,6,2,1
01134527,Absolutely Toasted,D,31,2025-2026,May 2026,2026-05-31,5-Jun-2026,,Requirement Met,9,9,0,4,1,1,0,1,1,0,4,1,7,6,2,1
01134527,Absolutely Toasted,D,31,2025-2026,Jun 2026,2026-06-30,16-Jul-2026,Distinguished,Requirement Met,9,12,3,5,1,1,0,1,1,0,4,4,7,6,2,1
00004560,Achievers  Toastmasters Club,D,42,2021-2022,Jul 2021,2021-07-31,10-Aug-2021,,,8,8,0,0,0,0,0,0,0,0,0,0,3,0,0,1
00004560,Achievers  Toastmasters Club,D,42,2021-2022,Aug 2021,2021-08-31,9-Sep-2021,,,8,8,0,0,0,0,0,0,0,0,0,0,3,0,0,1
00004560,Achievers  Toastmasters Club,D,42,2021-2022,Sep 2021,2021-09-30,12-Oct-2021,,,8,9,1,0,0,0,0,0,0,0,1,0,3,0,0,1
00004560,Achievers  Toastmasters Club,D,42,2021-2022,Oct 2021,2021-10-31,10-Nov-2021,,,8,6,-2,0,0,0,0,0,0,0,1,0,3,0,0,1
00004560,Achievers  Toastmasters Club,D,42,2021-2022,Nov 2021,2021-11-30,9-Dec-2021,,,8,6,-2,0,0,0,0,0,0,0,1,0,3,0,0,1
00004560,Achievers  Toastmasters Club,D,42,2021-2022,Dec 2021,2021-12-31,6-Jan-2022,,,8,6,-2,0,0,0,0,0,0,0,1,0,3,0,0,1
00004560,Achievers  Toastmasters Club,D,42,2021-2022,Jan 2022,2022-01-31,9-Feb-2022,,,8,7,-1,0,0,0,0,0,0,0,2,0,3,0,0,1
00004560,Achievers  Toastmasters Club,D,42,2021-2022,Feb 2022,2022-02-28,8-Mar-2022,,,8,7,-1,0,0,0,0,0,0,0,2,0,3,0,0,1
00004560,Achievers  Toastmasters Club,D,42,2021-2022,Mar 2022,2022-03-31,10-Apr-2022,,,8,8,0,1,0,1,0,0,0,0,3,0,3,0,1,1
00004560,Achievers  Toastmasters Club,D,42,2021-2022,Apr 2022,2022-04-30,30-Apr-2022,,,8,9,1,2,0,1,0,0,0,0,4,0,3,0,1,1
00004560,Achievers  Toastmasters Club,D,42,2021-2022,May 2022,2022-05-31,17-Jun-2022,,,8,9,1,2,0,1,0,0,0,0,4,0,3,0,1,1
00004560,Achievers  Toastmasters Club,D,42,2021-2022,Jun 2022,2022-06-30,29-Jul-2022,,,8,10,2,2,0,1,0,0,0,0,4,1,3,0,1,1
00004560,Achievers  Toastmasters Club,D,42,2022-2023,Jul 2022,2022-07-31,9-Aug-2022,,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1
00004560,Achievers  Toastmasters Club,D,42,2022-2023,Aug 2022,2022-08-31,8-Sep-2022,,,10,10,0,0,0,0,0,0,0,0,0,0,1,0,0,1
00004560,Achievers  Toastmasters Club,D,42,2022-2023,Sep 2022,2022-09-30,17-Oct-2022,,,10,11,1,0,0,0,0,0,0,0,1,0,1,0,0,1
00004560,Achievers  Toastmasters Club,D,42,2022-2023,Oct 2022,2022-10-31,15-Nov-2022,,,10,10,0,0,0,0,0,0,0,0,3,0,1,0,0,1
00004560,Achievers  Toastmasters Club,D,42,2022-2023,Nov 2022,2022-11-30,9-Dec-2022,,,10,12,2,1,0,0,0,0,0,0,4,0,1,0,0,1
00004560,Achievers  Toastmasters Club,D,42,2022-2023,Dec 2022,2022-12-31,10-Jan-2023,,,10,12,2,1,0,0,0,0,0,0,4,0,1,0,0,1
00004560,Achievers  Toastmasters Club,D,42,2022-2023,Jan 2023,2023-01-31,8-Feb-2023,,,10,14,4,1,0,0,0,0,0,0,4,2,1,0,0,1
00004560,Achievers  Toastmasters Club,D,42,2022-2023,Feb 2023,2023-02-28,9-Mar-2023,,,10,14,4,1,0,0,0,0,0,0,4,2,1,0,0,1
00004560,Achievers  Toastmasters Club,D,42,2022-2023,Mar 2023,2023-03-31,14-Apr-2023,,,10,14,4,3,1,1,0,1,1,0,4,2,1,0,1,1
00004560,Achievers  Toastmasters Club,D,42,2022-2023,Apr 2023,2023-04-30,12-May-2023,,,10,12,2,3,1,1,0,1,1,0,4,2,1,0,1,1
00004560,Achievers  Toastmasters Club,D,42,2022-2023,May 2023,2023-05-31,7-Jun-2023,,,10,13,3,3,1,1,0,1,1,0,4,3,1,7,1,1
00004560,Achievers  Toastmasters Club,D,42,2022-2023,Jun 2023,2023-06-30,20-Jul-2023,,,10,13,3,3,1,1,0,1,1,0,4,3,1,7,1,1
00004560,Achievers  Toastmasters Club,C,32,2023-2024,Jul 2023,2023-07-31,11-Aug-2023,,,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1
00004560,Achievers  Toastmasters Club,C,32,2023-2024,Aug 2023,2023-08-31,6-Sep-2023,,,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1
00004560,Achievers  Toastmasters Club,C,32,2023-2024,Sep 2023,2023-09-30,12-Oct-2023,,,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1
00004560,Achievers  Toastmasters Club,C,32,2023-2024,Oct 2023,2023-10-31,8-Nov-2023,,,13,10,-3,0,0,0,0,0,0,0,1,0,0,0,0,1
00004560,Achievers  Toastmasters Club,C,32,2023-2024,Nov 2023,2023-11-30,6-Dec-2023,,,13,10,-3,0,0,0,0,0,0,0,1,0,0,0,0,1
00004560,Achievers  Toastmasters Club,C,32,2023-2024,Dec 2023,2023-12-31,9-Jan-2024,,,13,10,-3,0,0,0,0,0,0,0,1,0,0,0,0,1
00004560,Achievers  Toastmasters Club,C,32,2023-2024,Jan 2024,2024-01-31,7-Feb-2024,,,13,10,-3,0,0,0,0,0,0,0,1,0,0,0,0,1
00004560,Achievers  Toastmasters Club,C,32,2023-2024,Feb 2024,2024-02-29,8-Mar-2024,,,13,10,-3,0,0,0,0,0,0,0,1,0,0,0,0,1
00004560,Achievers  Toastmasters Club,C,32,2023-2024,Mar 2024,2024-03-31,10-Apr-2024,,,13,13,0,1,0,0,0,0,0,0,4,0,0,0,0,1
00004560,Achievers  Toastmasters Club,C,32,2023-2024,Apr 2024,2024-04-30,8-May-2024,,,13,10,-3,2,0,0,0,0,0,0,4,1,0,0,1,1
00004560,Achievers  Toastmasters Club,C,32,2023-2024,May 2024,2024-05-31,11-Jun-2024,,,13,10,-3,2,0,0,0,0,0,0,4,1,0,0,1,1
00004560,Achievers  Toastmasters Club,C,32,2023-2024,Jun 2024,2024-06-30,20-Jul-2024,,,13,11,-2,2,0,0,0,0,0,0,4,2,0,0,1,1
00004560,Achievers  Toastmasters Club,C,32,2024-2025,Jul 2024,2024-07-31,8-Aug-2024,,,11,11,0,0,0,0,0,0,0,0,0,0,1,0,0,1
00004560,Achievers  Toastmasters Club,C,32,2024-2025,Aug 2024,2024-08-31,11-Sep-2024,,,11,11,0,0,0,0,0,0,0,0,0,0,3,0,0,1
00004560,Achievers  Toastmasters Club,C,32,2024-2025,Sep 2024,2024-09-30,11-Oct-2024,,,11,11,0,0,0,0,0,0,0,0,0,0,3,0,0,1
00004560,Achievers  Toastmasters Club,C,32,2024-2025,Oct 2024,2024-10-31,13-Nov-2024,,,11,8,-3,0,0,1,0,0,0,0,1,0,3,0,0,1
00004560,Achievers  Toastmasters Club,C,32,2024-2025,Nov 2024,2024-11-30,11-Dec-2024,,,11,8,-3,0,1,1,0,0,0,0,1,0,3,1,0,1
