1816260	UBC Staff Toastmasters Club
6399	Lincoln Toastmasters Club
7743	Rocky Point Club
605658	Talk of the Town
992549	Top Story Advanced
4801014	Down to Business
4931	Salsa Speakers Club
692859	Roadsters Club
1086799	Spoken Word Toastmasters
1827173	PARAKEETS Toastmasters Club
28678425	Kwik Witted Linguists
4371	Metro Speakers Club
5818	Speakeasy Club
6907	Power Speakers 6907
813114	Community Impact Speakers Club
2945976	Glenlyon Toastmasters
28677925	RSL Toastmasters Club
1612	Crystal Clear Speakers Club
2328	Telespeakers Club
5449	Stimulight Toastmasters Club
5989	Burnaby Mountain Toastmasters Club
3337150	Downtown Coquitlam TM Club
7400907	Vancouver Desis Toastmasters
28678274	Red Leaf Raconteurs
3872	Burnaby Toasters Club
6218	Speakers Of The House Toastmasters Club
1254308	FortiMasters
5265003	Burnaby Entrepreneurs Toastmasters Club
867	Deltones Club
3767	Rich-Del Friendly Dragons
4666	Ambassadors - Tsawwassen Toastmasters
9932	Engaging Humour Toastmasters Club
28677207	Schneider Electric Richmond Toastmasters
5488	Richmond Toastmasters Club
8790	MDA Toastmasters
9257	enRICHed Speakers Toastmasters Club
845571	Toastmentors
908	Leading Edge Club
3435	Tillicum Toastmasters
1158953	The Professional Edge
1703259	Just Pros Toastmasters
2279512	New Westminster Toastmasters
5881	The Word Toastmasters
6246	Comp-Talk Toastmasters
9200	North Delta Power Talkers Club
7536845	Unicorn Tribe Toastmasters
28677846	Richmond Chamber of Commerce Members Toastmasters Club
8178	White Rock Club
9362	Early Edition Toastmasters Club
9516	White Rock Evening Edition Club
3262351	Toastmasters By The Sea
3844160	Finding Vino Toastmasters Club
2651	Cloverdale Club
2743	Langley Toastmasters 2743
8116	Positively Speaking Club
8742	Good News Toastmasters Club
965	Abbotsford Sundown Club
3486	Chilliwack Toastmasters Club
9328	Snowpeaks Toastmasters Club
9453	Rise And Shine Toastmasters Club
7535384	The Knights of Abbotsford
2590	Surrey Club 2590
3439	Walnut Grove Toastmasters
6095	Mission Toastmasters Club
1503295	Blue Heron Toastmasters
3050928	Golden Ears Christian Toastmasters
7966	Speak With Confidence Club
9460	Surrey Civic Toastmasters
689049	Energized Communicators Toastmasters Club
1449677	Fraser Heights Cornerstone Toastmasters
872	Westside Toastmasters
2796	Kelowna Toastmasters
5300	Kelowna AM Toastmasters Club
2004846	OC Toastmasters
2196677	Penticton Toasties
2852	Sentinel Speakers Club
3532	Cranbrook First Club
6196	Nelson Fresh Tracks Toastmasters
6884	Monday Night Vernon Toastmasters Club
1929	Vernon Club
2645	Armstrong Toastmasters Club 2645
2861	Salmon Arm Toastmasters Club
9073	Morning Sun Club
1298198	Hi Noon Toastmasters
1348085	Monashee Toastmasters
786	Cariboo Club
2171	Spruce Capital Club
3081	Prince George Toastmasters
3197	Cariboo Speakers and Leaders
6252	Plaza 400 Toastmasters Club
2046	Nechako Toastmasters
4560	Achievers  Toastmasters Club
1454214	Let's Talk Business
28678313	Veeam AMER Sales Toastmasters
00000757	Aurora Toastmasters Club
00000937	New City Toastmasters
00001146	Discovery Toastmasters
00001211	Readers & Debaters
00001303	Somass Club
00002149	Vancore Toastmasters
00002392	Penticton Club
00002898	Pacific Rim Toastmasters Club
00003929	TRU Toastmasters Club
00004142	Richmond Friendly Toastmasters Club
00004589	Advanced Speakers Club
00005346	First Mandarin Toastmasters Club
00008010	Sixty Minutes Club   #8010
00008394	Birdcage Club
00009373	Richmond Dragon Masters Club
00009429	The Rock Christian Toastmasters Club
00009868	Global Speakers Toastmasters Club
00813223	Night Hawks Club
00861014	Envision Enunciators
01028836	Fraser Friends
01104308	Nuance Toastmasters Club
01328523	Langley Morning Toastmasters
01876839	Gateway Toastmasters
02262553	Royal Roads Toastmasters
02837872	Easy Speakers
03314718	Spotlight Speakers
04795295	Spontaneous Speakers
06016172	Clever Toastmasters Action Bunch
06652375	BCLC Kamloops
07192108	RHN CPA Toastmasters
07311328	PowerTalk
07343698	Elocutionists At Uvic
07378883	SPEAKtacular
07622665	COR Toastmasters Club
07694969	ASPIRE Toastmasters Club
07763511	Talktioneers
07844004	VDA Toastmasters Club
07847365	Speakers Without Borders
07872661	World of Difference
07934556	Illumination Mandarin Toastmasters Club
28675789	KPU Toastmasters
28675937	Control Freaks
28676909	Town Hall Talkers
28677926	Let's Get Infinite
28678505	District Dialoguers
28678945	Asian Canadian Basketball Association (ACBA)
